name,description,website
RIOS Intelligent Machines,RIOS empowers manufacturers to transform their operations with AI Agents that help improve industrial process control.,rios.ai
Sway,"Operator of a delivery and at-home return experience company intended for online brands and retailers. The company offers the pick-up and drop-off of the items to be returned to the corresponding carrier in a fully digitized way, enabling firms to retain revenue and increase repeat purchases.",shipsway.com
Veeam Kasten,"Developer of an enterprise data management platform designed to manage Kubernetes backup and disaster recovery. The company's platform permits domain experts to capture application-specific data management tasks while taking care of the tedious details around execution on Kubernetes and provides enterprise operations teams an easy-to-use, scalable and secure system for backup/restore, disaster recovery and application mobility, enabling users to have a homogeneous operational experience across applications at scale overcome Day 2 data management challenges to confidently run applications on Kubernetes.",veeam.com/products/cloud/kubernetes-data-protection.html
Flume Health,"Supercharge your teams to integrate and move data, in record time, with a purpose-built tool that can modernize data operations.",flumehealth.com
Stanza,Stanza,stanzacal.com
ESP Pharma,E Shop Pharmacy is discount online pharmacy of popular medications.,esppharma.md
Bitgreen,"Bitgreen is a blockchain community that focuses on practical applications for building renewable energy, personal growth through goal achievement, and positive impact through targeted impact initiatives.",bitgreen.org
Impraise,"Developer of a performance management software designed for continuous feedback and performance management. The company's software stimulates a social working culture of continuous learning where everybody is engaged with their own and each other's personal and professional development, enabling employees and managers to have continuous feedback that is meaningful, actionable, and painless.",impraise.com
Arkuda Therapeutics,Discovering therapies that bring new hope to those affected by frontotemporal dementia and other neurodegenerative diseases.,arkudatx.com
Acenxion Biosystems,"Developer of an antimicrobial susceptibility testing (AST) system intended to reduce the time required for phenotypic AST results. The company's system easily fits into the current clinical workflow to detect bacteria in blood cultures to improve patient outcomes, reduce healthcare costs, and reduce the spread of antibiotic resistance extending the service life of antibiotics, enabling clinicians to receive quick precision-treatment information and targeted treatment, and minimizing antibiotic exposure to Anti-Microbial Resistance (AMR).",ww12.acenxionbiosystems.com
Dura Software,"Dura is a hyperniche software buyer specialized in unique, narrow use-case horizontal software and vertical saas.",dura.software
DataChat,"The no-code, conversational analytics platform that enables business users to interrogate their data for faster speed to insights.",datachat.ai
BoomerangFX,"Build patient loyalty for a lifetime, with an All-In-One solution for real-time financial insights, EMR, scheduling, patient retention, and automated lead management — ensuring patient loyalty for a lifetime.",boomerangfx.com
Docket,"Docket is a frontline operations platform that connects people, data, & processes to help mid-market manufacturers improve productivity.",usedocket.com
Terminal ,"Easily add 100+ telematics integrations to your application with a single API. Connect your application to the services you need, without worrying about the underlying details",withterminal.com
Colabo Inc ,"Developer of an automated sales engagement platform designed to deliver a personalized experience in human interactions. The company's platform uses proprietary data integration and analytics to gather product data from web-based sources, display them on its dashboard, and analyze the data to send automatic alerts when changes occur in the tracked sources, enabling users to create frictionless conversational channels with zero coding or data science.",
SuperOrdinary,WEME,superordinary.co
Addressable,Addressable is a Los Angeles-based company.,elitelistings.com
Pump.co,Pump uses AI & group buying to automate cloud savings for your product with zero engineering input.,pump.co
BioRender,Browse 1000s of icons & templates from many fields of life sciences. Create science figures in minutes with BioRender scientific illustration software!,biorender.com
Galileo,"Developer of a data intelligence platform designed to improve the world of machine learning. The company's platform sifts through unlabeled data to automatically identify error patterns and data gaps in the model, enabling clients to improve efficiencies, reduce costs, and mitigate data biases across healthcare, financial services, insurance, and other industries.",galileo.ai
Perygee,Unleash superior security intelligence with Perygee,perygee.com
CastleLine,"CastleLine provides risk management and insurance solutions for the mortgage banking industry. Its products and services include mortgage solutions, such as errors and omissions, fidelity bonds, professional liability, surety bonds, appraisal, and warehouse; certified loan that includes underwriting error, compliance error, employee fraud, third party fraud, and appraisal error/fraud; traditional insurance, such as directors and officers, cyber liability, employment practices (EPLI), workers compensation, business/general liability, and employee benefits; consulting services, including product development, strategic planning, and merger and acquisitions; and lending, such as mortgage application fraud, insured total quality loan, and insured undisclosed debt program.",altisource.com/originations/insurance-castleline
Edgegap,"Automated game servers & distributed orchestration that is easy to integrate & compatible with major engines & game services. 615+ global locations, proven to scale to 14M CCU & 58% latency reduction vs public cloud.",edgegap.com
DocbookMD,"Provider of platform for physicians to communicate. The company's application DocBookMD, allows verified physicians to access a director of all physicians in their respective medical societies and send HIPAA-compliant text and picture messages to other verified physicians.",docbookmd.com
Salmedix Inc,,
120Water,Our platform is a turnkey solution that makes drinking water program management and compliance simple.,120water.com
Ability Biologics,"Ability develops innovative, targeted, immune modulating biotherapeutics to address unmet medical needs in patients with cancer and autoimmune diseases.",ability.bio/en
LUK Network,"LÜK Network - Production payroll, talent casting and model booking software.",luknetwork.com
nVision Medical,NVISION helps simplify your marketing operations and execution. Learn how we can be your partner for marketing and supply chain management.,active-genetics.com
"Oka, The Carbon Insurance Company","Oka's carbon insurance solutions de-risks global carbon markets to scale industry growth and accelerate climate action.",carboninsurance.co
Cargobot,"Discover Cargobot, the leader in digital freight solutions. Our platform connects shippers and carriers for more efficient over-the-road logistics.",cargobot.io
Gluent,"Developer of a data virtualization platform designed to solve the data liberation problem. The company's platform offers transparently offloading data from enterprise RDBMS silos into modern data while keeping all existing application code unchanged, enabling enterprises to integrate with and migrate to big data platforms without the expense of rewriting their applications.",
Anzen Insurance,"The one-stop marketplace for executive risk. Management liability, cyber and professional liability all in one place.",anzen.com
Orpyx Medical Technologies,"The Orpyx Sensory Insole system with remote patient monitoring helps reduce the risk of foot complications by monitoring plantar pressure, adherence, step count, and temperature data for your at-risk patients with peripheral neuropathy.",orpyx.com
Zip Security,"Zip automates cloud-based identity management, device management, and endpoint threat detection making securing a company and acing compliance audits a breeze.",zipsec.com
Yesware,"Yesware helps high-performing sales teams do meaningful email outreach at scale. If you need to drive more revenue through email outreach, but complex platforms are overkill — try Yesware.",yesware.com
IoTium,"Developer of a commercially deployed secure edge-cloud infrastructure intended to accelerate the digital transformation journey. The company's infrastructure ensures that machines using protocols can be connected to any application residing in a data center through a network infrastructure and operator while minimizing deployment complexity issues and network security risks, thereby enabling businesses to eliminate all complexities in scalable mass deployment.",
PRIVIT,"PRIVIT helps organizations become compliant with a secure solution to collect, manage, and process protected information. From digital intake forms, data collection and signature to injury management, documentation and treatment tracking; PRIVIT centralizes the work flow for athletes, staff and medical providers in one easy to use custom platform. Compliant with International privacy laws, we are dedicated to helping organizations and individuals streamline and standardize the intake process. Evolve your process and make paper forms a thing of the past.",privit.com
"A2 Biotherapeutics, Inc.","A2 is dedicated to advancing cancer treatment through pioneering cell therapy. Our T cells target solid tumors with precision, transforming the future of medicine.",a2bio.com
Peach,{{ metadata.description }},peachd.com
Hometeam ,"Provider of caregiver services intended to provide senior care for elderly patients. The company provides caregivers, clinicians, and care managers with a user-centric technology collaboratively developed in-house, empowering older adults to live their lives at home connected to their community.",careguardianinc.com
"HotSpot Therapeutics, Inc.","Developer of a therapeutic platform designed for allosteric drug discovery. The company's platform helps to identify hotspots and locate pathway treatments for cancer, metabolic, and rare diseases as well as leverages a database of hotspot structures, harnessing the power of data science in its multidisciplinary approach to drug discovery, enabling patients to get a conventional treatment against various diseases.",hotspotthera.com
Draup,"Developer of an enterprise decision-making platform designed for global CXO leaders in sales and talent domains. The company's platform offers real-time data that tracks millions of data points about companies and decision-makers, enabling sales and talent teams to make intelligent data-backed decisions.",draup.com
Monogoto,IoT Connectivity Management Platform: Monogoto Provides Global Cellular Connectivity & Private LTE Solutions As a Service. Click to Learn More,monogoto.io
Ambient Photonics,"Ambient's low-light solar PV cells harness power from ambient light, eliminating batteries & reducing connected IoT device carbon footprints.",ambientphotonics.com
Evo Security,"Multi-factor Authentication, Single Sign-On, Privileged Access Management, and Password Management Engineered for MSPs and their Customers",evosecurity.com
RouteThis,RouteThis WiFi troubleshooting and support platform for Service Providers and Smart Home companies uses connected devices to send WiFi diagnostics and analysis from home networks to your support agents.,routethis.com
Graviti,"The data platform for companies and teams to manage datasets, scale the collaboration by data visualization, data versioning through MLflow.",graviti.com
Lyatiss,Developer of software applications. The company offers smart networking analytics to cloud users.,
Intelon Optics,"Using non-contact, point-by-point capture, BOSS provides new and useful data for understanding the structure of tissues within the eye.",intelon.com
WingWork,"Developer of a maintenance tracking software designed to streamline workflows and fleets. The company's platform helps with logbook ingestion and data entry, integrating work orders, generating invoices, original equipment manufacturer alerts, and managing inventory, enabling aviation businesses to simplify compliance activities and generate work orders.",wingwork.com
Andium,"Industrial software and hardware combined, bringing a level of local visibility, intelligence, and security to remote oil and gas site locations like never before.",andium.com
Cortex,"Developer of patient recovery tracking platform designed to offer post acute experience management. The company's platform focuses on full operational and clinical improvement, from internal staff engagement, to ensuring patients are healthy at home, enabling clients to identify clinical and census growth opportunities via follow-up calls to their patients.",cortexhc.com
Performive,"Provider of hyper-converged managed multi-cloud infrastructure services intended for financial institutions, advertising platform operators, telecom companies, educational institutions and government agencies. The company specializes in offering managed and network-optimized infrastructure in a hybrid environment, application management and enterprise-grade backup services, enabling its clients to manage, secure and provide backup for mission-critical applications effectively.",performive.com
LuckyTruck,"Welcome to LuckyTruck, where we’re transforming the trucking insurance experience. Our digital insurance brokerage platform is designed to simplify the process of buying and managing trucking insurance online.",luckytruck.com
E-ppraisal,"Eppraisal provides free Estimated Home Value reports along with real estate articles and information to help consumers navigate all aspects of the home buying, selling, financing and care process.",eppraisal.com
ReturnLogic,"Returns management software and analytics for Shopify and BigCommerce ecommerce merchants. Automate returns, exchanges, and warranties today!",returnlogic.com
Center ,"Center is expense management reimagined and is the leading expense management software + corporate credit card. Center delivers real-time visibility and control, and full visibility of the entire spend process.",getcenter.com
Versanis Bio,"Developer of medicines designed to address medical conditions prevalent in older adults. The company offers treatment that consistently and potently induces significant loss of fat mass without loss of lean mass and additionally improved HbA1c and other cardiometabolic parameters, thereby helping overweight and obese adults to maintain healthy body composition.",
Kapital,"Solicita un crédito empresarial, personal o de auto. Abre una cuenta de inversión o nómina de forma fácil y segura. ¡Kapital el banco al alcance de tu mano!",bancoautofin.mx
Horizon3.ai,"Continuously assess, fix, and verify your security posture. Securing enterprises across many attack surfaces.",horizon3.ai
Xooker,"Discover Unbeatable Savings at Xooker - Your Key to Thrifty Shopping! Find Exclusive Deals, Discounts, and Rewards to Save Hundreds! Click here to learn more!",xooker.com
"Octet Scientific, Inc.","Producer of organic electrolyte chemicals intended to improve efficiency and extend cycle life for all zinc batteries. The company's products are added seamlessly to electrolytes and enhance battery performance in markets like backup power, grid storage, portable devices, mobility, and more, enabling its customers to offer more efficient and cost-effective energy storage products.",octetsci.com
ALLO - Backed by Zoom,"ALLO is the most intuitive visual collaboration tool. Transform complex ideas into easy, shareable visuals and collaborate effortlessly. ALLO empowers creative planning, project management, and effective teamwork—all on an easy-to-use visual canvas.",allo.io
Neomar,"Developer of enterprise mobile infrastructure software created to optimizes performance and extends systems management functionality using open standards. The company's wireless infrastructure software offers secure delivery and management of a reliable, future-proofed mobile solution for mission-critical, always-available access to corporate data,enabling wireless network providers to access applications without the constraints imposed by today's wireless networks and devices.",
CommonGround,"CommonGround is a land marketplace that connects farmers, landowners, hunters and land professionals to cultivate land transactions",commonground.io/app
"Artio Medical, Inc.",Programování a vývoj software,cms.artio.net
Audit Sight Inc.,"Audit Sight is a leading technology platform that eliminates manual work for auditors, diligence and private equity professionals by automating financial transaction verification.",auditsight.com
Compliable,"Compliable makes gaming licensing easy. We offer a streamlined platform for managing occupational, vendor, and key licenses.",compliable.com
Vivid Theory,"Operator of a product development company intended to specialize in both physical and digital products. The company takes ideas from concept to commercialization through a proven strategy of incubation, intelligence, and investment, enabling users to have entrepreneurship, tech, and design-forward thinking and bring ideas from concept to commercialization.",vividtheory.com
Spekit,"Discover the only AI-powered sales enablement platform that surfaces personalized answers, content, and training where your reps work. Trusted by thousands.",spekit.com
"Ebyline, Inc. an IZEA Innovation","Operator of a content creator data platform intended to connect freelancers and companies. The company hosts experienced freelancers including journalists, photographers, technical writers, freelance writers, graphic designers and business video experts, thereby enabling companies to find the required individual for a project and track communications and assets across multiple projects.",ebyline.com
Tanbark Molded Fiber Products,"Tanbark Molded Fiber Products. Reshape the Future with Molded Fiber. 
Tanbark provides access to planet-friendly solutions pushing the limits of 
molded fiber design, offering custom, sustainable products and packaging.",tanbarkmfp.com
RNAimmune,"Provider of mRNA(messenger ribonucleic acid)-based therapeutics and vaccines intended to tackle indications in cancer, infectious and rare diseases. The company leverages mRNA as a data carrier to instruct the human body to build responsive mechanisms against serious infectious diseases, enabling the medical industry to address unmet needs in the treatment of viral infections.",rnaimmune.com
Ownify,"Ownify puts first time homebuyers and socially conscious investors on the same team. Our fractional ownership platform allows first time homebuyers with a low down payment to build equity and buy with a cash offer. For investors, lower entry costs, high quality properties and long term commitments.",ownify.com
Nexosome Oncology,"Developer of exosome-based diagnostics intended for various cancer detection. The company specializes in tumor monitoring, along with blood-derived exosomes that are useful to assess chemo and radiation response, enabling healthcare providers with advanced tumor intelligence and determine how to attack the tumor.",nexosome-oncology.com
